[2025-03-21T23:34:12.171Z] info: 	[Запрос Клиента] /fika/client/check/version
[2025-03-21T23:34:12.183Z] info: 	[Запрос Клиента] /fika/client/check/mods
[2025-03-21T23:34:12.372Z] info: 	[Запрос Клиента] /client/items
[2025-03-21T23:34:19.440Z] info: 	[Запрос Клиента] /client/customization
[2025-03-21T23:34:19.614Z] info: 	[Запрос Клиента] /client/globals
[2025-03-21T23:34:20.253Z] info: 	[Запрос Клиента] /client/trading/api/traderSettings
[2025-03-21T23:34:20.306Z] info: 	[Запрос Клиента] /client/settings
[2025-03-21T23:34:20.355Z] info: 	[Запрос Клиента] /client/game/profile/list
[2025-03-21T23:34:20.464Z] info: 	[Запрос Клиента] /client/account/customization
[2025-03-21T23:34:20.501Z] info: 	[Запрос Клиента] /client/locale/ru
[2025-03-21T23:34:24.585Z] debug: 	Saved 2 profiles, took: 1.08ms
[2025-03-21T23:34:44.623Z] debug: 	Saved 2 profiles, took: 1.08ms
[2025-03-21T23:34:54.057Z] info: 	[Запрос Клиента] /launcher/profile/info
[2025-03-21T23:34:54.059Z] info: 	[Запрос Клиента] /launcher/server/version
[2025-03-21T23:35:04.653Z] debug: 	Saved 2 profiles, took: 1.07ms
[2025-03-21T23:35:12.409Z] info: 	[Запрос Клиента] /client/game/profile/create
[2025-03-21T23:35:12.432Z] debug: 	Quest Production Unlock validation took: 0.00ms
[2025-03-21T23:35:12.432Z] debug: 	Updating generator area slots to a size of 6 + hideout management skill
[2025-03-21T23:35:12.432Z] debug: 	Updating water collector area slots to a size of 1 + hideout management skill
[2025-03-21T23:35:12.432Z] debug: 	Updating air filter area slots to a size of 3 + hideout management skill
[2025-03-21T23:35:12.432Z] debug: 	Updating bitcoin farm area slots to a size of 50 + hideout management skill
[2025-03-21T23:35:12.433Z] debug: 	generated player scav loadout with karma level 0
[2025-03-21T23:35:12.526Z] info: 	[Запрос Клиента] /client/game/profile/list
[2025-03-21T23:35:12.667Z] info: 	[Запрос Клиента] /client/game/profile/select
[2025-03-21T23:35:12.697Z] info: 	[Запрос Клиента] /client/profile/status
[2025-03-21T23:35:12.760Z] info: 	[Запрос Клиента] /client/weather
[2025-03-21T23:35:12.762Z] info: 	[Запрос Клиента] /client/locations
[2025-03-21T23:35:12.762Z] debug: 	Map: base has no base json file, skipping generation
[2025-03-21T23:35:13.652Z] info: 	[Запрос Клиента] /client/handbook/templates
[2025-03-21T23:35:15.026Z] info: 	[Запрос Клиента] /client/hideout/areas
[2025-03-21T23:35:15.152Z] info: 	[Запрос Клиента] /client/hideout/qte/list
[2025-03-21T23:35:15.183Z] info: 	[Запрос Клиента] /client/hideout/settings
[2025-03-21T23:35:15.228Z] info: 	[Запрос Клиента] /client/hideout/production/recipes
[2025-03-21T23:35:15.345Z] info: 	[Запрос Клиента] /client/builds/list
[2025-03-21T23:35:15.442Z] debug: 	[Fika Notification Manager] User is 67dd9f490003edb807c3a899
[2025-03-21T23:35:15.442Z] debug: 	[Fika Presence] Adding player: Homa_690
[2025-03-21T23:35:15.442Z] info: 	WebSocketHandler "Fika Notification Manager" connected
[2025-03-21T23:35:17.020Z] info: 	[Запрос Клиента] /singleplayer/log
[2025-03-21T23:35:17.020Z] debug: 	[SPT.Core] 1184960
[2025-03-21T23:35:17.024Z] info: 	[Запрос Клиента] /singleplayer/log
[2025-03-21T23:35:17.024Z] debug: 	[SPT.Core] 1498960
[2025-03-21T23:35:17.027Z] info: 	[Запрос Клиента] /singleplayer/log
[2025-03-21T23:35:17.027Z] debug: 	[SPT.Core] 0
[2025-03-21T23:35:18.023Z] info: 	[Запрос Клиента] /client/notifier/channel/create
